gen,best_J,mean_J,std_J,goals,cols,oobs,timeouts,best_cells,best_steps,best_dist,ep_time,stag
28,-181.67,-93.38,58.45,0,1,0,19,0.790,0.790,1.210,6,200,441.12,4
29,-180.66,-104.80,33.68,0,0,0,20,0.787,0.783,1.213,6,200,459.60,5
30,-179.35,-81.40,52.85,0,1,0,19,0.780,0.780,1.220,6,200,450.72,6
0,-118.25,-19.68,52.48,0,2,0,18,0.514,0.514,1.486,3,300,622.35,0
1,-118.82,-35.25,64.43,0,3,0,17,0.517,0.517,1.483,2,300,593.30,0
2,-143.27,-36.28,62.73,0,2,0,18,0.623,0.623,1.377,4,300,629.92,0
3,-142.80,-26.83,57.45,0,4,0,16,0.621,0.621,1.379,4,300,578.47,1
4,-142.36,-40.17,52.31,0,1,0,19,0.619,0.619,1.381,4,300,651.21,2
5,-144.80,-57.60,54.58,0,1,0,19,0.630,0.630,1.370,4,300,657.06,0
6,-142.34,-66.43,52.41,0,0,0,20,0.619,0.619,1.381,5,300,686.07,1
7,-141.90,-78.95,58.66,0,2,0,18,0.617,0.617,1.383,4,300,632.53,2
8,-145.41,-101.77,51.62,0,1,0,19,0.632,0.632,1.368,4,300,650.63,0
9,-141.42,-61.27,62.72,0,1,0,19,0.618,0.609,1.382,5,300,656.88,1
10,-141.40,-92.34,46.60,0,1,0,19,0.618,0.609,1.382,5,300,651.39,2
11,-142.18,-58.57,54.92,0,1,0,19,0.620,0.615,1.380,4,300,650.49,3
12,-142.23,-67.70,60.69,0,2,0,18,0.621,0.614,1.379,5,300,622.08,4
13,-215.25,-90.96,56.85,0,0,0,20,0.945,0.920,1.055,8,300,683.37,0
14,-210.74,-105.60,52.13,0,0,0,20,0.916,0.916,1.084,6,300,683.10,1
15,-220.03,-107.40,68.76,0,1,0,19,0.965,0.941,1.035,9,300,655.21,0
16,-212.96,-109.17,49.75,0,0,0,20,0.926,0.925,1.074,7,300,679.95,1
17,-176.50,-113.48,56.94,0,1,0,19,0.768,0.766,1.232,6,300,651.81,2
18,-211.14,-101.26,57.08,0,0,0,20,0.918,0.918,1.082,7,300,678.97,3
19,-219.09,-112.73,62.51,0,1,0,19,0.981,0.899,1.019,9,300,663.57,4
20,-178.04,-108.79,53.16,0,1,0,19,0.775,0.772,1.225,6,300,654.92,5
21,-206.44,-100.53,61.14,0,1,0,19,0.899,0.895,1.101,7,300,652.76,6
22,-215.46,-117.44,50.93,0,0,0,20,0.937,0.937,1.063,8,300,682.72,7
23,-214.96,-107.71,55.58,0,0,0,20,0.935,0.935,1.065,7,300,683.85,8
24,-215.54,-101.22,53.71,0,0,0,20,0.937,0.937,1.063,9,300,681.99,9
25,-216.23,-94.29,59.72,0,0,0,20,0.940,0.940,1.060,9,300,682.12,10
26,-215.64,-104.01,53.06,0,0,0,20,0.938,0.938,1.062,8,300,680.02,1
27,-215.43,-108.27,50.35,0,0,0,20,0.937,0.937,1.063,8,300,677.06,2
28,-214.61,-84.04,75.72,0,1,0,19,0.933,0.933,1.067,8,300,660.11,3
29,-217.12,-101.20,70.44,0,1,0,19,0.944,0.944,1.056,7,300,657.50,4
30,-216.25,-104.07,58.55,0,0,0,20,0.940,0.940,1.060,7,300,683.04,5
31,-217.82,-91.56,60.62,0,0,0,20,0.947,0.947,1.053,8,300,683.83,6
32,-219.04,-107.82,63.46,0,0,0,20,0.955,0.947,1.045,9,300,684.26,7
33,-220.06,-112.87,52.52,0,0,0,20,0.957,0.956,1.043,8,300,683.52,0
34,-230.01,-88.58,59.91,0,0,0,20,1.001,0.999,0.999,8,300,680.37,0
35,-230.65,-103.45,59.47,0,0,0,20,1.003,1.003,0.997,6,300,681.80,0
36,-232.00,-112.66,65.99,0,1,0,19,1.009,1.009,0.991,7,300,654.88,0
37,-234.43,-108.45,57.88,0,0,0,20,1.019,1.019,0.981,7,300,680.49,0
38,-229.53,-104.00,66.16,0,2,0,18,0.998,0.998,1.002,5,300,823.77,1
0,-115.52,-20.67,48.82,0,1,0,19,0.503,0.501,1.497,4,200,91.42,0
1,-115.84,-37.58,57.49,0,2,0,18,0.504,0.504,1.496,3,200,91.26,0
2,-140.44,-36.42,61.67,0,2,0,18,0.611,0.611,1.389,4,200,91.31,0
0,-115.76,-16.70,52.68,0,2,0,18,0.503,0.503,1.497,3,200,91.24,0
1,-118.48,-41.79,62.82,0,2,0,18,0.515,0.515,1.485,3,200,91.32,0
2,-126.87,-36.11,52.74,0,1,0,19,0.552,0.552,1.448,3,200,91.31,0
3,-128.05,-24.90,51.26,0,3,0,17,0.557,0.557,1.443,4,200,91.31,0
4,-127.32,-34.58,43.47,0,0,0,20,0.554,0.554,1.446,3,200,91.19,1
5,-130.60,-37.39,66.94,0,1,1,18,0.568,0.568,1.432,3,200,92.00,0
6,-128.71,-31.23,51.15,0,2,0,18,0.560,0.559,1.440,4,200,91.12,1
7,-127.98,-28.33,39.79,0,0,0,20,0.557,0.556,1.443,4,200,93.14,2
8,-128.15,-29.53,56.30,0,2,0,18,0.557,0.557,1.443,4,200,91.62,3
9,-128.99,-33.29,54.12,0,1,0,19,0.561,0.561,1.439,4,200,92.01,4
10,-128.59,-36.21,59.11,0,2,0,18,0.559,0.559,1.441,4,200,92.01,5
11,-129.19,-40.76,66.16,0,0,1,19,0.562,0.561,1.438,4,200,91.65,6
12,-128.98,-40.57,49.08,0,0,0,20,0.561,0.560,1.439,4,200,92.41,7
13,-128.35,-62.08,51.94,0,0,0,20,0.558,0.558,1.442,4,200,91.93,8
14,-138.97,-55.33,52.53,0,1,0,19,0.604,0.604,1.396,3,200,92.99,0
15,-141.13,-59.67,66.95,0,2,0,18,0.614,0.613,1.386,3,200,92.97,0
16,-140.99,-86.81,47.26,0,1,0,19,0.614,0.611,1.386,4,200,91.54,1
17,-141.19,-107.64,39.65,0,0,0,20,0.616,0.611,1.384,4,200,92.45,0
18,-159.91,-71.67,77.77,0,3,0,17,0.695,0.695,1.305,6,200,92.75,0
19,-156.27,-80.54,54.67,0,0,0,20,0.679,0.679,1.321,6,200,92.39,1
20,-155.48,-71.21,56.42,0,0,0,20,0.676,0.676,1.324,6,200,92.57,2
21,-158.74,-72.54,72.92,0,3,0,17,0.690,0.690,1.310,6,200,94.00,3
22,-155.87,-77.88,63.27,0,1,0,19,0.678,0.677,1.322,4,200,93.39,4
23,-166.54,-107.51,50.83,0,0,0,20,0.726,0.721,1.274,5,200,94.27,0
24,-167.84,-115.15,47.74,0,0,0,20,0.730,0.729,1.270,6,200,93.45,0
25,-168.20,-111.11,43.58,0,0,0,20,0.732,0.730,1.268,6,200,93.35,0
26,-170.35,-117.23,42.54,0,0,0,20,0.742,0.738,1.258,5,200,93.17,0
27,-166.39,-110.90,45.74,0,0,0,20,0.724,0.722,1.276,4,200,93.62,1
28,-168.20,-116.82,30.10,0,0,0,20,0.731,0.732,1.269,6,200,92.00,2
29,-167.82,-103.42,42.46,0,0,0,20,0.731,0.727,1.269,6,200,92.97,3
30,-167.11,-76.12,60.33,0,1,0,19,0.728,0.724,1.272,6,200,93.08,4
31,-169.35,-86.96,57.48,0,0,0,20,0.734,0.741,1.266,3,200,92.85,5
32,-168.57,-120.58,47.56,0,0,0,20,0.733,0.733,1.267,6,200,93.30,6
33,-168.12,-119.85,41.82,0,0,0,20,0.732,0.729,1.268,4,200,93.24,7
34,-193.81,-119.51,46.91,0,0,0,20,0.851,0.828,1.149,7,200,93.28,0
35,-193.53,-113.64,45.38,0,0,0,20,0.849,0.827,1.151,9,200,94.07,1
36,-173.86,-117.11,42.04,0,0,0,20,0.756,0.756,1.244,7,200,93.46,2
37,-193.40,-119.67,36.01,0,0,0,20,0.849,0.825,1.151,9,200,93.01,3
38,-194.10,-117.30,41.56,0,0,0,20,0.852,0.828,1.148,8,200,92.83,0
39,-171.24,-124.19,33.24,0,0,0,20,0.745,0.743,1.255,3,200,93.31,1
40,-193.30,-134.37,30.41,0,0,0,20,0.849,0.824,1.151,7,200,93.93,2
